"trial_type","trial_index","time_elapsed","internal_node_id","subject","success","rt","stimulus","button_pressed","key_press","condition","order","button0","button1"
"pavlovia","0","6","0.0-0.0","7qwwgngua01jqlk","","","","","","","","",""
"fullscreen","1","5247","0.0-1.0","7qwwgngua01jqlk","true","","","","","","","",""
"html-button-response","2","15648","0.0-2.0","7qwwgngua01jqlk","","10395.400000008522","Let's start!","0","","","","",""
"audio-keyboard-response","3","17262","0.0-3.0","7qwwgngua01jqlk","","null","audio/puppy.mp3","","null","","","",""
"html-button-response","4","18729","0.0-4.0","7qwwgngua01jqlk","","1460.5000000155997","","1","","","","",""
"audio-keyboard-response","5","20404","0.0-5.0","7qwwgngua01jqlk","","null","audio/apple.mp3","","null","","","",""
"html-button-response","6","20786","0.0-6.0","7qwwgngua01jqlk","","377.5000000023283","","0","","","","",""
"audio-keyboard-response","7","22789","0.0-7.0","7qwwgngua01jqlk","","null","audio/goodjob.mp3","","null","","","",""
"audio-keyboard-response","8","25794","0.0-8.0","7qwwgngua01jqlk","","null","audio/norm_touch_duck.mp3","","null","","","",""
"video-keyboard-response-mod","9","42334","0.0-9.0","7qwwgngua01jqlk","","null","","","null","nsc-label-first","1-1","",""
"audio-keyboard-response","10","46203","0.0-10.0","7qwwgngua01jqlk","","null","audio/norm_nissle.mp3","","null","","","",""
"html-button-response","11","63314","0.0-11.0","7qwwgngua01jqlk","","17100.800000014715","","0","","nsc-label-first","1-1","<img src=""img/2.png"" width=""40%"" />","<img src=""img/6.png"" width=""40%"" />"
"audio-keyboard-response","12","66697","0.0-12.0","7qwwgngua01jqlk","","null","audio/norm_fopin.mp3","","null","","","",""
"html-button-response","13","68295","0.0-13.0","7qwwgngua01jqlk","","1592.0999999798369","","1","","nsc-label-first","1-1","<img src=""img/2.png"" width=""40%"" />","<img src=""img/6.png"" width=""40%"" />"
"audio-keyboard-response","14","71657","0.0-14.0","7qwwgngua01jqlk","","null","audio/norm_nissle.mp3","","null","","","",""
"html-button-response","15","72850","0.0-15.0","7qwwgngua01jqlk","","1189.4000000029337","","1","","nsc-label-first","1-1","<img src=""img/6.png"" width=""40%"" />","<img src=""img/2.png"" width=""40%"" />"
"audio-keyboard-response","16","76220","0.0-16.0","7qwwgngua01jqlk","","null","audio/norm_fopin.mp3","","null","","","",""
"html-button-response","17","77328","0.0-17.0","7qwwgngua01jqlk","","1104.300000006333","","1","","nsc-label-first","1-1","<img src=""img/2.png"" width=""40%"" />","<img src=""img/6.png"" width=""40%"" />"
"audio-keyboard-response","18","80834","0.0-18.0","7qwwgngua01jqlk","","null","audio/goodjob.mp3","","null","","","",""
"audio-keyboard-response","19","83836","0.0-19.0","7qwwgngua01jqlk","","null","audio/norm_touch_duck.mp3","","null","","","",""
"video-keyboard-response-mod","20","103307","0.0-20.0","7qwwgngua01jqlk","","null","","","null","nsc-label-first","1-1","",""
"audio-keyboard-response","21","107177","0.0-21.0","7qwwgngua01jqlk","","null","audio/norm_dakup.mp3","","null","","","",""
"html-button-response","22","116690","0.0-22.0","7qwwgngua01jqlk","","9508.300000015879","","0","","nsc-label-first","1-1","<img src=""img/14.png"" width=""40%"" />","<img src=""img/13.png"" width=""40%"" />"
"audio-keyboard-response","23","120075","0.0-23.0","7qwwgngua01jqlk","","null","audio/norm_chamu.mp3","","null","","","",""
"html-button-response","24","120913","0.0-24.0","7qwwgngua01jqlk","","828.0000000086147","","1","","nsc-label-first","1-1","<img src=""img/14.png"" width=""40%"" />","<img src=""img/13.png"" width=""40%"" />"
"audio-keyboard-response","25","124277","0.0-25.0","7qwwgngua01jqlk","","null","audio/norm_dakup.mp3","","null","","","",""
"html-button-response","26","126454","0.0-26.0","7qwwgngua01jqlk","","2173.6999999848194","","1","","nsc-label-first","1-1","<img src=""img/13.png"" width=""40%"" />","<img src=""img/14.png"" width=""40%"" />"
"audio-keyboard-response","27","129835","0.0-27.0","7qwwgngua01jqlk","","null","audio/norm_chamu.mp3","","null","","","",""
"html-button-response","28","130758","0.0-28.0","7qwwgngua01jqlk","","917.9999999760184","","0","","nsc-label-first","1-1","<img src=""img/13.png"" width=""40%"" />","<img src=""img/14.png"" width=""40%"" />"
"audio-keyboard-response","29","134264","0.0-29.0","7qwwgngua01jqlk","","null","audio/goodjob.mp3","","null","","","",""
"audio-keyboard-response","30","137266","0.0-30.0","7qwwgngua01jqlk","","null","audio/norm_touch_duck.mp3","","null","","","",""
"video-keyboard-response-mod","31","155407","0.0-31.0","7qwwgngua01jqlk","","null","","","null","nsc-label-last","1-1","",""
"audio-keyboard-response","32","159275","0.0-32.0","7qwwgngua01jqlk","","null","audio/norm_zibo.mp3","","null","","","",""
"html-button-response","33","165019","0.0-33.0","7qwwgngua01jqlk","","5733.399999997346","","0","","nsc-label-last","1-1","<img src=""img/16.png"" width=""40%"" />","<img src=""img/12.png"" width=""40%"" />"
"audio-keyboard-response","34","168393","0.0-34.0","7qwwgngua01jqlk","","null","audio/norm_zibo.mp3","","null","","","",""
"html-button-response","35","170542","0.0-35.0","7qwwgngua01jqlk","","2142.699999996694","","0","","nsc-label-last","1-1","<img src=""img/12.png"" width=""40%"" />","<img src=""img/16.png"" width=""40%"" />"
"audio-keyboard-response","36","173916","0.0-36.0","7qwwgngua01jqlk","","null","audio/norm_miffle.mp3","","null","","","",""
"html-button-response","37","174651","0.0-37.0","7qwwgngua01jqlk","","729.2000000015832","","0","","nsc-label-last","1-1","<img src=""img/16.png"" width=""40%"" />","<img src=""img/12.png"" width=""40%"" />"
"audio-keyboard-response","38","178018","0.0-38.0","7qwwgngua01jqlk","","null","audio/norm_miffle.mp3","","null","","","",""
"html-button-response","39","178616","0.0-39.0","7qwwgngua01jqlk","","594.2999999970198","","0","","nsc-label-last","1-1","<img src=""img/16.png"" width=""40%"" />","<img src=""img/12.png"" width=""40%"" />"
"audio-keyboard-response","40","182120","0.0-40.0","7qwwgngua01jqlk","","null","audio/norm_touch_duck.mp3","","null","","","",""
"video-keyboard-response-mod","41","198955","0.0-41.0","7qwwgngua01jqlk","","null","","","null","nsc-label-last","1-1","",""
"audio-keyboard-response","42","202833","0.0-42.0","7qwwgngua01jqlk","","null","audio/norm_vugim.mp3","","null","","","",""
"html-button-response","43","210521","0.0-43.0","7qwwgngua01jqlk","","7685.400000016671","","0","","nsc-label-last","1-1","<img src=""img/8.png"" width=""40%"" />","<img src=""img/4.png"" width=""40%"" />"
"audio-keyboard-response","44","213893","0.0-44.0","7qwwgngua01jqlk","","null","audio/norm_vugim.mp3","","null","","","",""
