"trial_type","trial_index","time_elapsed","internal_node_id","subject","success","rt","stimulus","button_pressed","key_press","condition","order","button0","button1"
"pavlovia","0","9","0.0-0.0","9skmsqs2jkdt7dz","","","","","","","","",""
"fullscreen","1","35765","0.0-1.0","9skmsqs2jkdt7dz","true","","","","","","","",""
"html-button-response","2","36707","0.0-2.0","9skmsqs2jkdt7dz","","936","Let's start!","0","","","","",""
"audio-keyboard-response","3","38810","0.0-3.0","9skmsqs2jkdt7dz","","null","audio/apple.mp3","","null","","","",""
"html-button-response","4","42899","0.0-4.0","9skmsqs2jkdt7dz","","4085.9999999999927","","0","","","","",""
"audio-keyboard-response","5","44532","0.0-5.0","9skmsqs2jkdt7dz","","null","audio/puppy.mp3","","null","","","",""
"html-button-response","6","44676","0.0-6.0","9skmsqs2jkdt7dz","","142","","1","","","","",""
"audio-keyboard-response","7","46679","0.0-7.0","9skmsqs2jkdt7dz","","null","audio/goodjob.wav","","null","","","",""
"audio-keyboard-response","8","49682","0.0-8.0","9skmsqs2jkdt7dz","","null","audio/norm_touch_duck.wav","","null","","","",""
"video-keyboard-response-mod","9","67341","0.0-9.0","9skmsqs2jkdt7dz","","null","","","null","sc-label-last","1-1","",""
"audio-keyboard-response","10","71208","0.0-10.0","9skmsqs2jkdt7dz","","null","audio/norm_klefu.wav","","null","","","",""
"html-button-response","11","73189","0.0-11.0","9skmsqs2jkdt7dz","","1977","","1","","sc-label-last","1-1","<img src=""img/10.png"" width=""40%"" />","<img src=""img/11.png"" width=""40%"" />"
"audio-keyboard-response","12","76955","0.0-12.0","9skmsqs2jkdt7dz","","null","audio/norm_jimo.wav","","null","","","",""
"html-button-response","13","77162","0.0-13.0","9skmsqs2jkdt7dz","","200.00000000001455","","1","","sc-label-last","1-1","<img src=""img/11.png"" width=""40%"" />","<img src=""img/10.png"" width=""40%"" />"
"audio-keyboard-response","14","80527","0.0-14.0","9skmsqs2jkdt7dz","","null","audio/norm_jimo.wav","","null","","","",""
"html-button-response","15","80687","0.0-15.0","9skmsqs2jkdt7dz","","158","","1","","sc-label-last","1-1","<img src=""img/11.png"" width=""40%"" />","<img src=""img/10.png"" width=""40%"" />"
"audio-keyboard-response","16","84057","0.0-16.0","9skmsqs2jkdt7dz","","null","audio/norm_klefu.wav","","null","","","",""
"html-button-response","17","84204","0.0-17.0","9skmsqs2jkdt7dz","","146","","1","","sc-label-last","1-1","<img src=""img/11.png"" width=""40%"" />","<img src=""img/10.png"" width=""40%"" />"
"audio-keyboard-response","18","87709","0.0-18.0","9skmsqs2jkdt7dz","","null","audio/goodjob.wav","","null","","","",""
"audio-keyboard-response","19","90712","0.0-19.0","9skmsqs2jkdt7dz","","null","audio/norm_touch_duck.wav","","null","","","",""
"video-keyboard-response-mod","20","132529","0.0-20.0","9skmsqs2jkdt7dz","","null","","","null","sc-label-last","1-1","",""
"audio-keyboard-response","21","136395","0.0-21.0","9skmsqs2jkdt7dz","","null","audio/norm_paegu.wav","","null","","","",""
"html-button-response","22","141021","0.0-22.0","9skmsqs2jkdt7dz","","4610","","0","","sc-label-last","1-1","<img src=""img/7.png"" width=""40%"" />","<img src=""img/3.png"" width=""40%"" />"
"audio-keyboard-response","23","144400","0.0-23.0","9skmsqs2jkdt7dz","","null","audio/norm_tentle.wav","","null","","","",""
"html-button-response","24","144885","0.0-24.0","9skmsqs2jkdt7dz","","482","","1","","sc-label-last","1-1","<img src=""img/7.png"" width=""40%"" />","<img src=""img/3.png"" width=""40%"" />"
"audio-keyboard-response","25","148254","0.0-25.0","9skmsqs2jkdt7dz","","null","audio/norm_tentle.wav","","null","","","",""
"html-button-response","26","148509","0.0-26.0","9skmsqs2jkdt7dz","","252","","1","","sc-label-last","1-1","<img src=""img/7.png"" width=""40%"" />","<img src=""img/3.png"" width=""40%"" />"
"audio-keyboard-response","27","151877","0.0-27.0","9skmsqs2jkdt7dz","","null","audio/norm_paegu.wav","","null","","","",""
"html-button-response","28","152149","0.0-28.0","9skmsqs2jkdt7dz","","270","","0","","sc-label-last","1-1","<img src=""img/7.png"" width=""40%"" />","<img src=""img/3.png"" width=""40%"" />"
"audio-keyboard-response","29","155653","0.0-29.0","9skmsqs2jkdt7dz","","null","audio/goodjob.wav","","null","","","",""
"audio-keyboard-response","30","158657","0.0-30.0","9skmsqs2jkdt7dz","","null","audio/norm_touch_duck.wav","","null","","","",""
"video-keyboard-response-mod","31","178131","0.0-31.0","9skmsqs2jkdt7dz","","null","","","null","sc-label-first","1-1","",""
"audio-keyboard-response","32","181996","0.0-32.0","9skmsqs2jkdt7dz","","null","audio/norm_toma.wav","","null","","","",""
"html-button-response","33","182431","0.0-33.0","9skmsqs2jkdt7dz","","430","","0","","sc-label-first","1-1","<img src=""img/1.png"" width=""40%"" />","<img src=""img/5.png"" width=""40%"" />"
"audio-keyboard-response","34","185796","0.0-34.0","9skmsqs2jkdt7dz","","null","audio/norm_toma.wav","","null","","","",""
"html-button-response","35","186372","0.0-35.0","9skmsqs2jkdt7dz","","571","","0","","sc-label-first","1-1","<img src=""img/1.png"" width=""40%"" />","<img src=""img/5.png"" width=""40%"" />"
"audio-keyboard-response","36","189736","0.0-36.0","9skmsqs2jkdt7dz","","null","audio/norm_blicket.wav","","null","","","",""
"html-button-response","37","189860","0.0-37.0","9skmsqs2jkdt7dz","","119","","0","","sc-label-first","1-1","<img src=""img/5.png"" width=""40%"" />","<img src=""img/1.png"" width=""40%"" />"
"audio-keyboard-response","38","193242","0.0-38.0","9skmsqs2jkdt7dz","","null","audio/norm_blicket.wav","","null","","","",""
"html-button-response","39","193338","0.0-39.0","9skmsqs2jkdt7dz","","94","","0","","sc-label-first","1-1","<img src=""img/5.png"" width=""40%"" />","<img src=""img/1.png"" width=""40%"" />"
"audio-keyboard-response","40","196842","0.0-40.0","9skmsqs2jkdt7dz","","null","audio/goodjob.wav","","null","","","",""
"audio-keyboard-response","41","199846","0.0-41.0","9skmsqs2jkdt7dz","","null","audio/norm_touch_duck.wav","","null","","","",""
"video-keyboard-response-mod","42","217000","0.0-42.0","9skmsqs2jkdt7dz","","null","","","null","sc-label-first","1-1","",""
"audio-keyboard-response","43","220877","0.0-43.0","9skmsqs2jkdt7dz","","null","audio/norm_gazzer.wav","","null","","","",""
"html-button-response","44","221516","0.0-44.0","9skmsqs2jkdt7dz","","635","","0","","sc-label-first","1-1","<img src=""img/15.png"" width=""40%"" />","<img src=""img/9.png"" width=""40%"" />"
"audio-keyboard-response","45","224883","0.0-45.0","9skmsqs2jkdt7dz","","null","audio/norm_gazzer.wav","","null","","","",""
"html-button-response","46","225843","0.0-46.0","9skmsqs2jkdt7dz","","958","","0","","sc-label-first","1-1","<img src=""img/15.png"" width=""40%"" />","<img src=""img/9.png"" width=""40%"" />"
"audio-keyboard-response","47","229210","0.0-47.0","9skmsqs2jkdt7dz","","null","audio/norm_numo.wav","","null","","","",""
"html-button-response","48","231246","0.0-48.0","9skmsqs2jkdt7dz","","2033","","0","","sc-label-first","1-1","<img src=""img/9.png"" width=""40%"" />","<img src=""img/15.png"" width=""40%"" />"
"audio-keyboard-response","49","234610","0.0-49.0","9skmsqs2jkdt7dz","","null","audio/norm_numo.wav","","null","","","",""
"html-button-response","50","236025","0.0-50.0","9skmsqs2jkdt7dz","","1412","","0","","sc-label-first","1-1","<img src=""img/15.png"" width=""40%"" />","<img src=""img/9.png"" width=""40%"" />"
"audio-keyboard-response","51","239530","0.0-51.0","9skmsqs2jkdt7dz","","null","audio/goodjob.wav","","null","","","",""
"audio-keyboard-response","52","242534","0.0-52.0","9skmsqs2jkdt7dz","","null","audio/norm_touch_duck.wav","","null","","","",""
"video-keyboard-response-mod","53","260080","0.0-53.0","9skmsqs2jkdt7dz","","null","","","null","nsc-label-last","1-1","",""
"audio-keyboard-response","54","263951","0.0-54.0","9skmsqs2jkdt7dz","","null","audio/norm_vugim.wav","","null","","","",""
"html-button-response","55","266065","0.0-55.0","9skmsqs2jkdt7dz","","2110","","0","","nsc-label-last","1-1","<img src=""img/8.png"" width=""40%"" />","<img src=""img/4.png"" width=""40%"" />"
"audio-keyboard-response","56","269437","0.0-56.0","9skmsqs2jkdt7dz","","null","audio/norm_vugim.wav","","null","","","",""
"html-button-response","57","269851","0.0-57.0","9skmsqs2jkdt7dz","","411","","0","","nsc-label-last","1-1","<img src=""img/4.png"" width=""40%"" />","<img src=""img/8.png"" width=""40%"" />"
"audio-keyboard-response","58","273222","0.0-58.0","9skmsqs2jkdt7dz","","null","audio/norm_reko.wav","","null","","","",""
"html-button-response","59","273741","0.0-59.0","9skmsqs2jkdt7dz","","516","","0","","nsc-label-last","1-1","<img src=""img/4.png"" width=""40%"" />","<img src=""img/8.png"" width=""40%"" />"
"audio-keyboard-response","60","277123","0.0-60.0","9skmsqs2jkdt7dz","","null","audio/norm_reko.wav","","null","","","",""
"html-button-response","61","277242","0.0-61.0","9skmsqs2jkdt7dz","","117","","0","","nsc-label-last","1-1","<img src=""img/4.png"" width=""40%"" />","<img src=""img/8.png"" width=""40%"" />"
"audio-keyboard-response","62","280746","0.0-62.0","9skmsqs2jkdt7dz","","null","audio/goodjob.wav","","null","","","",""
"audio-keyboard-response","63","283750","0.0-63.0","9skmsqs2jkdt7dz","","null","audio/norm_touch_duck.wav","","null","","","",""
"video-keyboard-response-mod","64","301393","0.0-64.0","9skmsqs2jkdt7dz","","null","","","null","nsc-label-last","1-1","",""
"audio-keyboard-response","65","305666","0.0-65.0","9skmsqs2jkdt7dz","","null","audio/norm_zibo.wav","","null","","","",""
"html-button-response","66","306069","0.0-66.0","9skmsqs2jkdt7dz","","399","","0","","nsc-label-last","1-1","<img src=""img/12.png"" width=""40%"" />","<img src=""img/16.png"" width=""40%"" />"
"audio-keyboard-response","67","309436","0.0-67.0","9skmsqs2jkdt7dz","","null","audio/norm_zibo.wav","","null","","","",""
"html-button-response","68","309696","0.0-68.0","9skmsqs2jkdt7dz","","257","","0","","nsc-label-last","1-1","<img src=""img/16.png"" width=""40%"" />","<img src=""img/12.png"" width=""40%"" />"
