"trial_type","trial_index","time_elapsed","internal_node_id","subject","success","rt","stimulus","button_pressed","key_press","button0","button1","condition","order"
"pavlovia","0","2","0.0-0.0","2u5br1ussa5unsv","","","","","","","","",""
"fullscreen","1","14448","0.0-1.0","2u5br1ussa5unsv","true","","","","","","","",""
"html-button-response","2","15371","0.0-2.0","2u5br1ussa5unsv","","922","Let's start!","0","","","","",""
"audio-keyboard-response","3","17054","0.0-3.0","2u5br1ussa5unsv","","null","audio/apple.mp3","","null","","","",""
"html-button-response","4","17418","0.0-4.0","2u5br1ussa5unsv","","363","","1","","<img src=""img/puppy.png"" width=""40%"" />","<img src=""img/apple.png"" width=""40%"" />","",""
"audio-keyboard-response","5","19020","0.0-5.0","2u5br1ussa5unsv","","null","audio/puppy.mp3","","null","","","",""
"html-button-response","6","19366","0.0-6.0","2u5br1ussa5unsv","","346","","0","","<img src=""img/puppy.png"" width=""40%"" />","<img src=""img/apple.png"" width=""40%"" />","",""
"audio-keyboard-response","7","21367","0.0-7.0","2u5br1ussa5unsv","","null","audio/goodjob.mp3","","null","","","",""
"audio-keyboard-response","8","24370","0.0-8.0","2u5br1ussa5unsv","","null","audio/norm_touch_duck.mp3","","null","","","",""
"video-keyboard-response-mod","9","41848","0.0-9.0","2u5br1ussa5unsv","","null","","","null","","","sc-label-last","1-1"
"audio-keyboard-response","10","45718","0.0-10.0","2u5br1ussa5unsv","","null","audio/norm_jimo.mp3","","null","","","",""
"html-button-response","11","46020","0.0-11.0","2u5br1ussa5unsv","","301","","0","","<img src=""img/10.png"" width=""40%"" />","<img src=""img/11.png"" width=""40%"" />","sc-label-last","1-1"
"audio-keyboard-response","12","49387","0.0-12.0","2u5br1ussa5unsv","","null","audio/norm_klefu.mp3","","null","","","",""
"html-button-response","13","49585","0.0-13.0","2u5br1ussa5unsv","","198","","0","","<img src=""img/11.png"" width=""40%"" />","<img src=""img/10.png"" width=""40%"" />","sc-label-last","1-1"
"audio-keyboard-response","14","52952","0.0-14.0","2u5br1ussa5unsv","","null","audio/norm_klefu.mp3","","null","","","",""
"html-button-response","15","53309","0.0-15.0","2u5br1ussa5unsv","","357","","1","","<img src=""img/10.png"" width=""40%"" />","<img src=""img/11.png"" width=""40%"" />","sc-label-last","1-1"
