"trial_type","trial_index","time_elapsed","internal_node_id","subject","success","rt","stimulus","button_pressed","key_press","button0","button1","condition","order","value"
"pavlovia","0","7","0.0-0.0","wzhqwcchf2acvs0","","","","","","","","","",""
"fullscreen","1","2270","0.0-1.0","wzhqwcchf2acvs0","true","","","","","","","","",""
"html-button-response","2","3289","0.0-2.0","wzhqwcchf2acvs0","","1014","Let's start!","0","","","","","",""
"audio-keyboard-response","3","5114","0.0-3.0","wzhqwcchf2acvs0","","null","audio/apple.wav","","null","","","","",""
"html-button-response","4","6561","0.0-4.0","wzhqwcchf2acvs0","","1444","","0","","<img src=""img/apple.png"" width=""40%"" />","<img src=""img/puppy.png"" width=""40%"" />","","",""
"audio-keyboard-response","5","8166","0.0-5.0","wzhqwcchf2acvs0","","null","audio/puppy.wav","","null","","","","",""
"html-button-response","6","8567","0.0-6.0","wzhqwcchf2acvs0","","398","","1","","<img src=""img/apple.png"" width=""40%"" />","<img src=""img/puppy.png"" width=""40%"" />","","",""
"audio-keyboard-response","7","10571","0.0-7.0","wzhqwcchf2acvs0","","null","audio/goodjob.wav","","null","","","","",""
"audio-keyboard-response","8","13574","0.0-8.0","wzhqwcchf2acvs0","","null","audio/norm_touch_duck.wav","","null","","","","",""
"video-keyboard-response-mod","9","32777","0.0-9.0","wzhqwcchf2acvs0","","null","","","null","","","nsc-label-first","1-1",""
"call-function","10","34786","0.0-10.0","wzhqwcchf2acvs0","","","","","","","","","","[object Object]"
"audio-keyboard-response","11","36691","0.0-11.0","wzhqwcchf2acvs0","","null","audio/norm_fopin.wav","","null","","","","",""
"html-button-response","12","38672","0.0-12.0","wzhqwcchf2acvs0","","1979.0000000000073","","1","","<img src=""img/6.png"" width=""40%"" />","<img src=""img/2.png"" width=""40%"" />","nsc-label-first","1-1",""
"call-function","13","40174","0.0-13.0","wzhqwcchf2acvs0","","","","","","","","","","[object Object]"
"audio-keyboard-response","14","42080","0.0-14.0","wzhqwcchf2acvs0","","null","audio/norm_nissle.wav","","null","","","","",""
"html-button-response","15","50013","0.0-15.0","wzhqwcchf2acvs0","","7932","","1","","<img src=""img/6.png"" width=""40%"" />","<img src=""img/2.png"" width=""40%"" />","nsc-label-first","1-1",""
"call-function","16","51515","0.0-16.0","wzhqwcchf2acvs0","","","","","","","","","","[object Object]"
"audio-keyboard-response","17","53423","0.0-17.0","wzhqwcchf2acvs0","","null","audio/norm_nissle.wav","","null","","","","",""
