"trial_type","trial_index","time_elapsed","internal_node_id","subject","success","rt","stimulus","button_pressed","key_press","button0","button1","condition","order"
"pavlovia","0","12","0.0-0.0","lssj5lhuy9ljuhn","","","","","","","","",""
"fullscreen","1","4071","0.0-1.0","lssj5lhuy9ljuhn","true","","","","","","","",""
"html-button-response","2","10413","0.0-2.0","lssj5lhuy9ljuhn","","6341","Let's start!","0","","","","",""
"audio-keyboard-response","3","12341","0.0-3.0","lssj5lhuy9ljuhn","","null","audio/apple.mp3","","null","","","",""
"html-button-response","4","13283","0.0-4.0","lssj5lhuy9ljuhn","","937","","0","","<img src=""img/puppy.png"" width=""40%"" />","<img src=""img/apple.png"" width=""40%"" />","",""
"audio-keyboard-response","5","14923","0.0-5.0","lssj5lhuy9ljuhn","","null","audio/puppy.mp3","","null","","","",""
"html-button-response","6","15945","0.0-6.0","lssj5lhuy9ljuhn","","1019","","0","","<img src=""img/puppy.png"" width=""40%"" />","<img src=""img/apple.png"" width=""40%"" />","",""
"audio-keyboard-response","7","17950","0.0-7.0","lssj5lhuy9ljuhn","","null","audio/goodjob.mp3","","null","","","",""
"audio-keyboard-response","8","20954","0.0-8.0","lssj5lhuy9ljuhn","","null","audio/norm_touch_duck.wav","","null","","","",""
"video-keyboard-response-mod","9","38539","0.0-9.0","lssj5lhuy9ljuhn","","null","","","null","","","sc-label-first","1-1"
"audio-keyboard-response","10","42405","0.0-10.0","lssj5lhuy9ljuhn","","null","audio/norm_toma.wav","","null","","","",""
"html-button-response","11","46243","0.0-11.0","lssj5lhuy9ljuhn","","3829","","1","","<img src=""img/1.png"" width=""40%"" />","<img src=""img/5.png"" width=""40%"" />","sc-label-first","1-1"
"audio-keyboard-response","12","49610","0.0-12.0","lssj5lhuy9ljuhn","","null","audio/norm_blicket.wav","","null","","","",""
"html-button-response","13","50738","0.0-13.0","lssj5lhuy9ljuhn","","1126","","1","","<img src=""img/5.png"" width=""40%"" />","<img src=""img/1.png"" width=""40%"" />","sc-label-first","1-1"
"audio-keyboard-response","14","54103","0.0-14.0","lssj5lhuy9ljuhn","","null","audio/norm_toma.wav","","null","","","",""
"html-button-response","15","55621","0.0-15.0","lssj5lhuy9ljuhn","","1515","","0","","<img src=""img/5.png"" width=""40%"" />","<img src=""img/1.png"" width=""40%"" />","sc-label-first","1-1"
"audio-keyboard-response","16","58989","0.0-16.0","lssj5lhuy9ljuhn","","null","audio/norm_blicket.wav","","null","","","",""
"html-button-response","17","60124","0.0-17.0","lssj5lhuy9ljuhn","","1133","","1","","<img src=""img/5.png"" width=""40%"" />","<img src=""img/1.png"" width=""40%"" />","sc-label-first","1-1"
"audio-keyboard-response","18","63629","0.0-18.0","lssj5lhuy9ljuhn","","null","audio/goodjob.wav","","null","","","",""
