"trial_type","trial_index","time_elapsed","internal_node_id","subject","success","rt","stimulus","button_pressed","key_press","condition","order","button0","button1"
"pavlovia","0","11","0.0-0.0","q7cwpccpkscfrr4","","","","","","","","",""
"fullscreen","1","2447","0.0-1.0","q7cwpccpkscfrr4","true","","","","","","","",""
"html-button-response","2","3412","0.0-2.0","q7cwpccpkscfrr4","","960","Let's start!","0","","","","",""
"audio-keyboard-response","3","5256","0.0-3.0","q7cwpccpkscfrr4","","null","audio/apple.mp3","","null","","","",""
"html-button-response","4","5676","0.0-4.0","q7cwpccpkscfrr4","","414","","0","","","","",""
"audio-keyboard-response","5","7310","0.0-5.0","q7cwpccpkscfrr4","","null","audio/puppy.mp3","","null","","","",""
"html-button-response","6","8461","0.0-6.0","q7cwpccpkscfrr4","","1149","","0","","","","",""
"audio-keyboard-response","7","10466","0.0-7.0","q7cwpccpkscfrr4","","null","audio/goodjob.wav","","null","","","",""
"audio-keyboard-response","8","13469","0.0-8.0","q7cwpccpkscfrr4","","null","audio/norm_touch_duck.wav","","null","","","",""
"video-keyboard-response-mod","9","31341","0.0-9.0","q7cwpccpkscfrr4","","null","","","null","nsc-label-first","1-1","",""
"audio-keyboard-response","10","35212","0.0-10.0","q7cwpccpkscfrr4","","null","audio/norm_fopin.m4a","","null","","","",""
"html-button-response","11","35802","0.0-11.0","q7cwpccpkscfrr4","","586","","1","","nsc-label-first","1-1","<img src=""img/6.png"" width=""40%"" />","<img src=""img/2.png"" width=""40%"" />"
"audio-keyboard-response","12","39176","0.0-12.0","q7cwpccpkscfrr4","","null","audio/norm_fopin.m4a","","null","","","",""
"html-button-response","13","40762","0.0-13.0","q7cwpccpkscfrr4","","1583","","1","","nsc-label-first","1-1","<img src=""img/2.png"" width=""40%"" />","<img src=""img/6.png"" width=""40%"" />"
"audio-keyboard-response","14","44126","0.0-14.0","q7cwpccpkscfrr4","","null","audio/norm_nissle.m4a","","null","","","",""
"html-button-response","15","45179","0.0-15.0","q7cwpccpkscfrr4","","1050","","0","","nsc-label-first","1-1","<img src=""img/6.png"" width=""40%"" />","<img src=""img/2.png"" width=""40%"" />"
"audio-keyboard-response","16","48542","0.0-16.0","q7cwpccpkscfrr4","","null","audio/norm_nissle.m4a","","null","","","",""
"html-button-response","17","49328","0.0-17.0","q7cwpccpkscfrr4","","784","","0","","nsc-label-first","1-1","<img src=""img/6.png"" width=""40%"" />","<img src=""img/2.png"" width=""40%"" />"
"audio-keyboard-response","18","52832","0.0-18.0","q7cwpccpkscfrr4","","null","audio/goodjob.wav","","null","","","",""
"audio-keyboard-response","19","55836","0.0-19.0","q7cwpccpkscfrr4","","null","audio/norm_touch_duck.wav","","null","","","",""
"video-keyboard-response-mod","20","73270","0.0-20.0","q7cwpccpkscfrr4","","null","","","null","nsc-label-first","1-1","",""
"audio-keyboard-response","21","77141","0.0-21.0","q7cwpccpkscfrr4","","null","audio/norm_dakup.m4a","","null","","","",""
"html-button-response","22","77336","0.0-22.0","q7cwpccpkscfrr4","","185","","0","","nsc-label-first","1-1","<img src=""img/13.png"" width=""40%"" />","<img src=""img/14.png"" width=""40%"" />"
"audio-keyboard-response","23","80710","0.0-23.0","q7cwpccpkscfrr4","","null","audio/norm_dakup.m4a","","null","","","",""
"html-button-response","24","81947","0.0-24.0","q7cwpccpkscfrr4","","1234","","0","","nsc-label-first","1-1","<img src=""img/14.png"" width=""40%"" />","<img src=""img/13.png"" width=""40%"" />"
"audio-keyboard-response","25","85318","0.0-25.0","q7cwpccpkscfrr4","","null","audio/norm_chamu.m4a","","null","","","",""
"html-button-response","26","86079","0.0-26.0","q7cwpccpkscfrr4","","758","","0","","nsc-label-first","1-1","<img src=""img/14.png"" width=""40%"" />","<img src=""img/13.png"" width=""40%"" />"
"audio-keyboard-response","27","89457","0.0-27.0","q7cwpccpkscfrr4","","null","audio/norm_chamu.m4a","","null","","","",""
"html-button-response","28","90281","0.0-28.0","q7cwpccpkscfrr4","","821","","0","","nsc-label-first","1-1","<img src=""img/13.png"" width=""40%"" />","<img src=""img/14.png"" width=""40%"" />"
"audio-keyboard-response","29","93785","0.0-29.0","q7cwpccpkscfrr4","","null","audio/goodjob.wav","","null","","","",""
"audio-keyboard-response","30","96789","0.0-30.0","q7cwpccpkscfrr4","","null","audio/norm_touch_duck.wav","","null","","","",""
"video-keyboard-response-mod","31","114377","0.0-31.0","q7cwpccpkscfrr4","","null","","","null","sc-label-first","1-1","",""
"audio-keyboard-response","32","118262","0.0-32.0","q7cwpccpkscfrr4","","null","audio/norm_gazzer.m4a","","null","","","",""
"html-button-response","33","118883","0.0-33.0","q7cwpccpkscfrr4","","618","","0","","sc-label-first","1-1","<img src=""img/15.png"" width=""40%"" />","<img src=""img/9.png"" width=""40%"" />"
"audio-keyboard-response","34","122251","0.0-34.0","q7cwpccpkscfrr4","","null","audio/norm_numo.m4a","","null","","","",""
"html-button-response","35","122830","0.0-35.0","q7cwpccpkscfrr4","","575.9999999999854","","0","","sc-label-first","1-1","<img src=""img/9.png"" width=""40%"" />","<img src=""img/15.png"" width=""40%"" />"
"audio-keyboard-response","36","126194","0.0-36.0","q7cwpccpkscfrr4","","null","audio/norm_numo.m4a","","null","","","",""
"html-button-response","37","126898","0.0-37.0","q7cwpccpkscfrr4","","700.9999999999854","","0","","sc-label-first","1-1","<img src=""img/9.png"" width=""40%"" />","<img src=""img/15.png"" width=""40%"" />"
"audio-keyboard-response","38","130267","0.0-38.0","q7cwpccpkscfrr4","","null","audio/norm_gazzer.m4a","","null","","","",""
"html-button-response","39","130883","0.0-39.0","q7cwpccpkscfrr4","","612","","0","","sc-label-first","1-1","<img src=""img/9.png"" width=""40%"" />","<img src=""img/15.png"" width=""40%"" />"
"audio-keyboard-response","40","134387","0.0-40.0","q7cwpccpkscfrr4","","null","audio/goodjob.wav","","null","","","",""
"audio-keyboard-response","41","137391","0.0-41.0","q7cwpccpkscfrr4","","null","audio/norm_touch_duck.wav","","null","","","",""
"video-keyboard-response-mod","42","154673","0.0-42.0","q7cwpccpkscfrr4","","null","","","null","sc-label-first","1-1","",""
"audio-keyboard-response","43","158541","0.0-43.0","q7cwpccpkscfrr4","","null","audio/norm_blicket.m4a","","null","","","",""
"html-button-response","44","159143","0.0-44.0","q7cwpccpkscfrr4","","597","","0","","sc-label-first","1-1","<img src=""img/5.png"" width=""40%"" />","<img src=""img/1.png"" width=""40%"" />"
"audio-keyboard-response","45","162517","0.0-45.0","q7cwpccpkscfrr4","","null","audio/norm_blicket.m4a","","null","","","",""
"html-button-response","46","163199","0.0-46.0","q7cwpccpkscfrr4","","680","","0","","sc-label-first","1-1","<img src=""img/5.png"" width=""40%"" />","<img src=""img/1.png"" width=""40%"" />"
"audio-keyboard-response","47","166528","0.0-47.0","q7cwpccpkscfrr4","","null","audio/norm_toma.m4a","","null","","","",""
"html-button-response","48","167251","0.0-48.0","q7cwpccpkscfrr4","","718","","0","","sc-label-first","1-1","<img src=""img/5.png"" width=""40%"" />","<img src=""img/1.png"" width=""40%"" />"
"audio-keyboard-response","49","170581","0.0-49.0","q7cwpccpkscfrr4","","null","audio/norm_toma.m4a","","null","","","",""
"html-button-response","50","171385","0.0-50.0","q7cwpccpkscfrr4","","801","","0","","sc-label-first","1-1","<img src=""img/1.png"" width=""40%"" />","<img src=""img/5.png"" width=""40%"" />"
"audio-keyboard-response","51","174889","0.0-51.0","q7cwpccpkscfrr4","","null","audio/goodjob.wav","","null","","","",""
"audio-keyboard-response","52","177893","0.0-52.0","q7cwpccpkscfrr4","","null","audio/norm_touch_duck.wav","","null","","","",""
"video-keyboard-response-mod","53","195424","0.0-53.0","q7cwpccpkscfrr4","","null","","","null","nsc-label-last","1-1","",""
"audio-keyboard-response","54","199292","0.0-54.0","q7cwpccpkscfrr4","","null","audio/norm_zibo.m4a","","null","","","",""
"html-button-response","55","199918","0.0-55.0","q7cwpccpkscfrr4","","601","","0","","nsc-label-last","1-1","<img src=""img/12.png"" width=""40%"" />","<img src=""img/16.png"" width=""40%"" />"
"audio-keyboard-response","56","203293","0.0-56.0","q7cwpccpkscfrr4","","null","audio/norm_zibo.m4a","","null","","","",""
"html-button-response","57","204069","0.0-57.0","q7cwpccpkscfrr4","","773","","0","","nsc-label-last","1-1","<img src=""img/12.png"" width=""40%"" />","<img src=""img/16.png"" width=""40%"" />"
"audio-keyboard-response","58","207431","0.0-58.0","q7cwpccpkscfrr4","","null","audio/norm_miffle.m4a","","null","","","",""
"html-button-response","59","208168","0.0-59.0","q7cwpccpkscfrr4","","734","","0","","nsc-label-last","1-1","<img src=""img/12.png"" width=""40%"" />","<img src=""img/16.png"" width=""40%"" />"
"audio-keyboard-response","60","211548","0.0-60.0","q7cwpccpkscfrr4","","null","audio/norm_miffle.m4a","","null","","","",""
"html-button-response","61","212452","0.0-61.0","q7cwpccpkscfrr4","","901","","0","","nsc-label-last","1-1","<img src=""img/16.png"" width=""40%"" />","<img src=""img/12.png"" width=""40%"" />"
"audio-keyboard-response","62","215956","0.0-62.0","q7cwpccpkscfrr4","","null","audio/norm_touch_duck.wav","","null","","","",""
"video-keyboard-response-mod","63","234135","0.0-63.0","q7cwpccpkscfrr4","","null","","","null","nsc-label-last","1-1","",""
"audio-keyboard-response","64","237972","0.0-64.0","q7cwpccpkscfrr4","","null","audio/norm_vugim.m4a","","null","","","",""
