"trial_type","trial_index","time_elapsed","internal_node_id","subject","success","rt","stimulus","button_pressed","key_press","condition","order","button0","button1"
"pavlovia","0","3","0.0-0.0","sh9zoc78vo60ggy","","","","","","","","",""
"fullscreen","1","4682","0.0-1.0","sh9zoc78vo60ggy","true","","","","","","","",""
"html-button-response","2","6818","0.0-2.0","sh9zoc78vo60ggy","","2111.000000000001","Let's start!","0","","","","",""
"audio-keyboard-response","3","8628","0.0-3.0","sh9zoc78vo60ggy","","null","audio/apple.mp3","","null","","","",""
"html-button-response","4","10265","0.0-4.0","sh9zoc78vo60ggy","","1633","","1","","","","",""
"audio-keyboard-response","5","11901","0.0-5.0","sh9zoc78vo60ggy","","null","audio/puppy.mp3","","null","","","",""
"html-button-response","6","12822","0.0-6.0","sh9zoc78vo60ggy","","919","","1","","","","",""
"audio-keyboard-response","7","14826","0.0-7.0","sh9zoc78vo60ggy","","null","audio/goodjob.wav","","null","","","",""
"audio-keyboard-response","8","17831","0.0-8.0","sh9zoc78vo60ggy","","null","audio/norm_touch_duck.mp3","","null","","","",""
"video-keyboard-response-mod","9","36005","0.0-9.0","sh9zoc78vo60ggy","","null","","","null","sc-label-first","1-1","",""
"audio-keyboard-response","10","39868","0.0-10.0","sh9zoc78vo60ggy","","null","audio/norm_blicket.mp3","","null","","","",""
"html-button-response","11","58181","0.0-11.0","sh9zoc78vo60ggy","","18310","","1","","sc-label-first","1-1","<img src=""img/1.png"" width=""40%"" />","<img src=""img/5.png"" width=""40%"" />"
"audio-keyboard-response","12","61547","0.0-12.0","sh9zoc78vo60ggy","","null","audio/norm_toma.mp3","","null","","","",""
"html-button-response","13","63428","0.0-13.0","sh9zoc78vo60ggy","","1878","","1","","sc-label-first","1-1","<img src=""img/5.png"" width=""40%"" />","<img src=""img/1.png"" width=""40%"" />"
"audio-keyboard-response","14","66796","0.0-14.0","sh9zoc78vo60ggy","","null","audio/norm_blicket.mp3","","null","","","",""
"html-button-response","15","77205","0.0-15.0","sh9zoc78vo60ggy","","10406","","0","","sc-label-first","1-1","<img src=""img/5.png"" width=""40%"" />","<img src=""img/1.png"" width=""40%"" />"
"audio-keyboard-response","16","80568","0.0-16.0","sh9zoc78vo60ggy","","null","audio/norm_toma.mp3","","null","","","",""
"html-button-response","17","81840","0.0-17.0","sh9zoc78vo60ggy","","1270","","1","","sc-label-first","1-1","<img src=""img/1.png"" width=""40%"" />","<img src=""img/5.png"" width=""40%"" />"
"audio-keyboard-response","18","85344","0.0-18.0","sh9zoc78vo60ggy","","null","audio/goodjob.wav","","null","","","",""
"audio-keyboard-response","19","88346","0.0-19.0","sh9zoc78vo60ggy","","null","audio/norm_touch_duck.mp3","","null","","","",""
"video-keyboard-response-mod","20","105207","0.0-20.0","sh9zoc78vo60ggy","","null","","","null","sc-label-first","1-1","",""
"audio-keyboard-response","21","109073","0.0-21.0","sh9zoc78vo60ggy","","null","audio/norm_gazzer.mp3","","null","","","",""
"html-button-response","22","110659","0.0-22.0","sh9zoc78vo60ggy","","1584","","1","","sc-label-first","1-1","<img src=""img/15.png"" width=""40%"" />","<img src=""img/9.png"" width=""40%"" />"
"audio-keyboard-response","23","114026","0.0-23.0","sh9zoc78vo60ggy","","null","audio/norm_gazzer.mp3","","null","","","",""
"html-button-response","24","115789","0.0-24.0","sh9zoc78vo60ggy","","1760","","1","","sc-label-first","1-1","<img src=""img/15.png"" width=""40%"" />","<img src=""img/9.png"" width=""40%"" />"
"audio-keyboard-response","25","119154","0.0-25.0","sh9zoc78vo60ggy","","null","audio/norm_numo.mp3","","null","","","",""
"html-button-response","26","120476","0.0-26.0","sh9zoc78vo60ggy","","1321","","0","","sc-label-first","1-1","<img src=""img/15.png"" width=""40%"" />","<img src=""img/9.png"" width=""40%"" />"
"audio-keyboard-response","27","123845","0.0-27.0","sh9zoc78vo60ggy","","null","audio/norm_numo.mp3","","null","","","",""
"html-button-response","28","125121","0.0-28.0","sh9zoc78vo60ggy","","1272.9999999999854","","0","","sc-label-first","1-1","<img src=""img/15.png"" width=""40%"" />","<img src=""img/9.png"" width=""40%"" />"
"audio-keyboard-response","29","128626","0.0-29.0","sh9zoc78vo60ggy","","null","audio/goodjob.wav","","null","","","",""
"audio-keyboard-response","30","131629","0.0-30.0","sh9zoc78vo60ggy","","null","audio/norm_touch_duck.mp3","","null","","","",""
"video-keyboard-response-mod","31","149575","0.0-31.0","sh9zoc78vo60ggy","","null","","","null","nsc-label-first","1-1","",""
"audio-keyboard-response","32","153440","0.0-32.0","sh9zoc78vo60ggy","","null","audio/norm_chamu.mp3","","null","","","",""
"html-button-response","33","155208","0.0-33.0","sh9zoc78vo60ggy","","1767","","0","","nsc-label-first","1-1","<img src=""img/14.png"" width=""40%"" />","<img src=""img/13.png"" width=""40%"" />"
"audio-keyboard-response","34","158574","0.0-34.0","sh9zoc78vo60ggy","","null","audio/norm_chamu.mp3","","null","","","",""
